Realized inflation;Immediate inflation;Loan interest rate;Average loan interest rate;Deposit interest rate;Average deposit IR
0.000113551;0.00028936;0;7.21944e-19;0;-7.21773e-19
0.000148713;0.000415888;0;5.77555e-19;0;-5.77419e-19
0.000202148;0.000406988;0;4.62044e-19;0;-4.61935e-19
0.000243116;0.000307891;0;3.69635e-19;0;-3.69548e-19
0.000256071;0.000146172;0;2.95708e-19;0;-2.95638e-19
0.000234091;8.77302e-05;0;2.36567e-19;0;-2.36511e-19
0.000204819;8.91848e-05;0;1.89253e-19;0;-1.89209e-19
0.000181692;3.88234e-05;0;1.51403e-19;0;-1.51367e-19
0.000153118;-1.69857e-05;0;1.21122e-19;0;-1.21093e-19
0.000119098;-5.94412e-05;0;9.68977e-20;0;-9.68748e-20
8.33899e-05;-0.000114593;0;7.75181e-20;0;-7.74998e-20
4.37934e-05;-0.000210532;0;6.20145e-20;0;-6.19998e-20
-7.07169e-06;-0.000435141;0;4.96116e-20;0;-4.95999e-20
-9.26856e-05;-0.00146567;0;3.96893e-20;0;-3.96799e-20
-0.000367282;-0.000723536;0;3.17514e-20;0;-3.17439e-20
-0.000438533;-0.000181365;0;2.54011e-20;0;-2.53951e-20
-0.000387099;0.000190244;0;2.03209e-20;0;-2.03161e-20
-0.000271631;0.000598599;0;1.62567e-20;0;-1.62529e-20
-9.75848e-05;0.000654431;0;1.30054e-20;0;-1.30023e-20
5.28184e-05;0.000679578;0;1.04043e-20;0;-1.04018e-20
0.00017817;0.000637778;0;8.32345e-21;0;-8.32148e-21
0.000270092;0.000570792;0;6.65876e-21;0;-6.65718e-21
0.000330232;0.000505089;0;5.32701e-21;0;-5.32575e-21
0.000365203;0.000418079;0;4.2616e-21;0;-4.2606e-21
0.000375778;0.000363853;0;3.40928e-21;0;-3.40848e-21
0.000373393;0.000335109;0;2.72743e-21;0;-2.72678e-21
0.000365736;0.000254617;0;2.18194e-21;0;-2.18143e-21
0.000343513;0.0002444;0;1.74555e-21;0;-1.74514e-21
0.00032369;0.000205959;0;1.39644e-21;0;-1.39611e-21
0.000300144;0.000171057;0;1.11715e-21;0;-1.11689e-21
0.000274326;0.000194992;0;8.93723e-22;0;-8.93512e-22
0.00025846;0.000205601;0;7.14979e-22;0;-7.1481e-22
0.000247888;0.000210255;0;5.71983e-22;0;-5.71848e-22
0.000240361;0.000201819;0;4.57586e-22;0;-4.57478e-22
0.000232653;0.000178665;0;3.66069e-22;0;-3.65982e-22
0.000221855;0.000246829;0;2.92855e-22;0;-2.92786e-22
0.00022685;0.000245147;0;2.34284e-22;0;-2.34229e-22
0.000230509;0.000235999;0;1.87427e-22;0;-1.87383e-22
0.000231607;0.000240386;0;1.49942e-22;0;-1.49906e-22
0.000233363;0.000225014;0;1.19954e-22;0;-1.19925e-22
0.000231693;0.000207432;0;9.59628e-23;0;-9.59401e-23
0.000226841;0.000202686;0;7.67702e-23;0;-7.67521e-23
0.00022201;0.000213106;0;6.14162e-23;0;-6.14017e-23
0.000220229;0.000195119;0;4.9133e-23;0;-4.91213e-23
0.000215207;0.000188919;0;3.93064e-23;0;-3.92971e-23
0.000209949;0.000207511;0;3.14451e-23;0;-3.14377e-23
0.000209462;0.000231617;0;2.51561e-23;0;-2.51501e-23
0.000213893;0.000252071;0;2.01249e-23;0;-2.01201e-23
0.000221528;0.000230012;0;1.60999e-23;0;-1.60961e-23
0.000223225;0.000227222;0;1.28799e-23;0;-1.28769e-23
0.000224025;0.000225743;0;1.03039e-23;0;-1.03015e-23
0.000224368;0.000218703;0;8.24314e-24;0;-8.24119e-24
0.000223235;0.000246492;0;6.59451e-24;0;-6.59295e-24
0.000227887;0.00024975;0;5.27561e-24;0;-5.27436e-24
0.000232259;0.000234714;0;4.22049e-24;0;-4.21949e-24
0.00023275;0.000224535;0;3.37639e-24;0;-3.37559e-24
